Detected from header: steps=5000, objects_per_step=10
Test  | A*        | A* time   | A* steps | D* Lite   | D* time   | D* steps 
--------------------------------------------------------------------------------
1     | No path   | 36.076    | 30       | No path   | 3.827     | 30       
2     | Path found| 32.166    | 44       | Path found| 2.940     | 44       
3     | Path found| 30.589    | 46       | Path found| 2.898     | 48       
4     | Path found| 18.049    | 37       | Path found| 2.437     | 37       
5     | Path found| 33.435    | 47       | Path found| 3.152     | 47       
6     | Path found| 32.981    | 53       | Path found| 3.776     | 53       
7     | Path found| 12.638    | 30       | Path found| 1.507     | 30       
8     | Path found| 16.636    | 36       | Path found| 2.385     | 36       
9     | No path   | 11.610    | 3        | No path   | 0.861     | 0        
10    | Path found| 14.637    | 31       | Path found| 1.804     | 31       
11    | Path found| 16.085    | 40       | Path found| 2.378     | 40       
12    | Path found| 33.851    | 46       | Path found| 3.331     | 46       
13    | Path found| 14.557    | 38       | Path found| 2.159     | 38       
14    | Path found| 24.683    | 40       | Path found| 2.543     | 40       
15    | Path found| 71.650    | 64       | Path found| 5.865     | 64       
16    | Path found| 33.161    | 45       | Path found| 2.962     | 45       
17    | Path found| 43.104    | 49       | Path found| 5.097     | 51       
18    | Path found| 20.855    | 37       | Path found| 2.453     | 37       
19    | Path found| 20.376    | 36       | Path found| 2.855     | 46       
20    | Path found| 33.041    | 47       | Path found| 3.396     | 47       
21    | Path found| 20.992    | 38       | Path found| 4.096     | 42       
22    | Path found| 32.796    | 53       | Path found| 4.059     | 53       
23    | Path found| 15.763    | 36       | Path found| 2.155     | 36       
24    | Path found| 17.140    | 32       | Path found| 1.887     | 32       
25    | Path found| 14.555    | 31       | Path found| 1.850     | 31       
26    | Path found| 23.963    | 40       | Path found| 2.869     | 40       
27    | Path found| 26.263    | 44       | Path found| 2.482     | 44       
28    | Path found| 27.483    | 42       | Path found| 2.283     | 42       
29    | No path   | 12.236    | 13       | No path   | 1.964     | 13       
30    | Path found| 27.000    | 39       | Path found| 2.670     | 39       
31    | Path found| 13.298    | 32       | Path found| 2.206     | 34       
32    | Path found| 40.667    | 50       | Path found| 4.173     | 52       
33    | Path found| 21.058    | 36       | Path found| 2.285     | 36       
34    | Path found| 41.565    | 52       | Path found| 3.606     | 52       
35    | Path found| 15.596    | 38       | Path found| 1.981     | 38       
36    | Path found| 43.288    | 52       | Path found| 5.982     | 52       
37    | Path found| 33.082    | 45       | Path found| 4.495     | 49       
38    | Path found| 45.256    | 53       | Path found| 4.255     | 53       
39    | Path found| 77.727    | 68       | Path found| 6.489     | 68       
40    | Path found| 39.425    | 49       | Path found| 3.753     | 49       
41    | Path found| 24.716    | 38       | Path found| 4.310     | 38       
42    | Path found| 16.155    | 40       | Path found| 3.433     | 44       
43    | Path found| 88.521    | 70       | Path found| 6.541     | 70       
44    | No path   | 31.062    | 41       | No path   | 4.080     | 41       
45    | Path found| 20.102    | 37       | Path found| 2.439     | 37       
46    | Path found| 25.746    | 41       | Path found| 2.317     | 41       
47    | Path found| 29.925    | 46       | Path found| 3.688     | 48       
48    | Path found| 20.569    | 41       | Path found| 2.802     | 43       
49    | No path   | 57.823    | 30       | No path   | 5.356     | 30       
50    | No path   | 47.439    | 30       | No path   | 5.443     | 30       
51    | Path found| 14.663    | 32       | Path found| 1.752     | 32       
52    | Path found| 19.610    | 41       | Path found| 2.711     | 43       
53    | Path found| 44.466    | 52       | Path found| 4.764     | 56       
54    | Path found| 22.074    | 43       | Path found| 3.707     | 49       
