Detected from header: steps=5000, objects_per_step=8
Test  | A*        | A* time   | A* steps | D* Lite   | D* time   | D* steps 
--------------------------------------------------------------------------------
1     | Path found| 7.966     | 54       | Path found| 4.313     | 54       
2     | Path found| 14.540    | 62       | Path found| 4.819     | 62       
3     | Path found| 5.958     | 64       | Path found| 4.496     | 64       
4     | Path found| 8.278     | 65       | Path found| 4.699     | 65       
5     | Path found| 6.226     | 65       | Path found| 5.042     | 67       
6     | Path found| 4.606     | 54       | Path found| 4.978     | 54       
7     | Path found| 4.365     | 53       | Path found| 2.755     | 53       
8     | Path found| 5.760     | 63       | Path found| 5.560     | 67       
9     | Path found| 5.371     | 55       | Path found| 4.109     | 55       
10    | Path found| 4.180     | 50       | Path found| 3.526     | 52       
11    | Path found| 7.163     | 60       | Path found| 3.860     | 60       
12    | No path   | 3.294     | 10       | No path   | 4.911     | 10       
13    | Path found| 6.885     | 65       | Path found| 5.330     | 67       
14    | No path   | 4.345     | 24       | No path   | 4.412     | 24       
15    | No path   | 4.338     | 19       | No path   | 4.480     | 19       
16    | Path found| 5.045     | 56       | Path found| 4.377     | 58       
17    | Path found| 4.376     | 57       | Path found| 3.840     | 57       
18    | Path found| 4.571     | 52       | Path found| 3.524     | 52       
19    | Path found| 6.532     | 60       | Path found| 4.557     | 62       
20    | Path found| 6.119     | 64       | Path found| 4.341     | 64       
21    | Path found| 7.813     | 65       | Path found| 5.522     | 67       
22    | Path found| 7.917     | 63       | Path found| 4.692     | 63       
23    | Path found| 6.226     | 58       | Path found| 6.744     | 68       
24    | Path found| 4.986     | 53       | Path found| 3.496     | 53       
25    | Path found| 4.972     | 57       | Path found| 4.774     | 57       
26    | Path found| 9.693     | 71       | Path found| 6.933     | 71       
27    | Path found| 3.112     | 50       | Path found| 3.077     | 50       
28    | No path   | 5.604     | 48       | No path   | 5.839     | 48       
29    | Path found| 5.268     | 53       | Path found| 3.360     | 53       
30    | Path found| 6.442     | 60       | Path found| 4.909     | 62       
31    | Path found| 4.602     | 53       | Path found| 2.864     | 53       
32    | Path found| 7.664     | 67       | Path found| 5.078     | 67       
33    | Path found| 3.641     | 54       | Path found| 4.139     | 54       
34    | Path found| 6.019     | 60       | Path found| 5.113     | 62       
35    | No path   | 3.789     | 18       | No path   | 4.542     | 18       
36    | Path found| 6.546     | 62       | Path found| 5.014     | 62       
37    | Path found| 5.030     | 56       | Path found| 4.132     | 56       
38    | Path found| 5.776     | 59       | Path found| 4.297     | 59       
39    | No path   | 5.010     | 51       | No path   | 6.112     | 51       
40    | Path found| 4.343     | 56       | Path found| 3.698     | 56       
41    | Path found| 5.934     | 68       | Path found| 4.413     | 58       
42    | Path found| 11.370    | 76       | Path found| 6.366     | 76       
43    | Path found| 5.582     | 59       | Path found| 4.031     | 59       
44    | Path found| 3.607     | 50       | Path found| 3.215     | 50       
45    | Path found| 7.997     | 64       | Path found| 4.975     | 64       
46    | Path found| 5.650     | 57       | Path found| 3.968     | 57       
47    | Path found| 6.508     | 60       | Path found| 4.543     | 60       
48    | Path found| 6.264     | 62       | Path found| 4.303     | 62       
49    | Path found| 5.017     | 55       | Path found| 4.071     | 57       
50    | Path found| 3.020     | 52       | Path found| 3.422     | 52       
51    | Path found| 10.803    | 74       | Path found| 6.252     | 74       
52    | Path found| 5.428     | 55       | Path found| 3.617     | 55       
53    | Path found| 5.270     | 58       | Path found| 4.912     | 62       
54    | Path found| 5.169     | 60       | Path found| 4.183     | 62       
55    | Path found| 4.436     | 52       | Path found| 3.606     | 52       
56    | Path found| 8.375     | 70       | Path found| 5.635     | 70       
57    | No path   | 11.417    | 43       | No path   | 9.421     | 43       
58    | Path found| 13.441    | 79       | Path found| 7.181     | 79       
59    | No path   | 4.884     | 31       | No path   | 4.485     | 31       
60    | Path found| 4.215     | 54       | Path found| 4.147     | 54       
61    | Path found| 9.413     | 73       | Path found| 6.332     | 73       
62    | Path found| 7.680     | 70       | Path found| 5.687     | 72       
63    | No path   | 7.478     | 59       | No path   | 8.090     | 59       
64    | Path found| 4.739     | 52       | Path found| 3.155     | 52       
65    | Path found| 9.040     | 69       | Path found| 8.053     | 73       
66    | Path found| 5.817     | 58       | Path found| 3.825     | 58       
67    | No path   | 2.174     | 4        | No path   | 4.867     | 4        
68    | Path found| 5.175     | 62       | Path found| 4.518     | 64       
69    | Path found| 4.016     | 50       | Path found| 2.746     | 50       
70    | No path   | 5.499     | 27       | No path   | 5.404     | 27       
71    | Path found| 6.148     | 61       | Path found| 4.944     | 63       
72    | Path found| 5.825     | 55       | Path found| 5.084     | 59       
73    | Path found| 2.116     | 50       | Path found| 2.956     | 50       
74    | Path found| 5.102     | 59       | Path found| 3.882     | 59       
75    | Path found| 6.575     | 60       | Path found| 4.633     | 60       
76    | Path found| 10.294    | 70       | Path found| 5.264     | 70       
77    | Path found| 9.018     | 72       | Path found| 6.315     | 74       
78    | Path found| 6.624     | 63       | Path found| 5.219     | 59       
79    | Path found| 4.254     | 53       | Path found| 3.435     | 53       
80    | Path found| 4.641     | 54       | Path found| 3.357     | 54       
81    | Path found| 5.787     | 57       | Path found| 4.059     | 57       
82    | Path found| 8.887     | 67       | Path found| 5.021     | 67       
83    | Path found| 6.449     | 58       | Path found| 3.650     | 58       
84    | Path found| 4.180     | 54       | Path found| 3.964     | 58       
85    | Path found| 9.083     | 75       | Path found| 6.203     | 75       
86    | Path found| 9.462     | 71       | Path found| 6.015     | 73       
87    | No path   | 9.869     | 31       | No path   | 9.535     | 31       
88    | Path found| 5.464     | 59       | Path found| 3.660     | 59       
89    | Path found| 3.062     | 52       | Path found| 2.936     | 52       
90    | Path found| 3.662     | 50       | Path found| 3.371     | 52       
91    | Path found| 5.991     | 58       | Path found| 4.314     | 58       
92    | Path found| 2.338     | 52       | Path found| 3.251     | 56       
93    | Path found| 5.527     | 60       | Path found| 4.447     | 62       
94    | Path found| 6.265     | 59       | Path found| 3.642     | 59       
95    | Path found| 7.436     | 61       | Path found| 4.053     | 61       
96    | Path found| 8.744     | 68       | Path found| 7.005     | 68       
97    | Path found| 5.326     | 56       | Path found| 4.206     | 56       
98    | Path found| 8.131     | 67       | Path found| 5.204     | 67       
99    | Path found| 3.065     | 55       | Path found| 3.361     | 55       
100   | Path found| 6.280     | 60       | Path found| 5.030     | 60       
101   | Path found| 7.469     | 62       | Path found| 4.432     | 62       
102   | Path found| 3.238     | 52       | Path found| 4.097     | 52       
103   | Path found| 7.463     | 63       | Path found| 5.282     | 63       
104   | No path   | 5.207     | 28       | No path   | 4.712     | 28       
105   | Path found| 4.452     | 54       | Path found| 3.394     | 54       
106   | Path found| 5.682     | 62       | Path found| 5.159     | 66       
107   | No path   | 4.687     | 26       | No path   | 5.453     | 26       
108   | Path found| 5.826     | 58       | Path found| 4.291     | 58       
109   | Path found| 6.000     | 60       | Path found| 4.521     | 60       
110   | Path found| 4.214     | 56       | Path found| 3.517     | 56       
111   | Path found| 5.574     | 53       | Path found| 3.897     | 53       
112   | Path found| 4.557     | 52       | Path found| 3.696     | 52       
113   | Path found| 4.826     | 55       | Path found| 4.109     | 57       
114   | Path found| 4.554     | 50       | Path found| 3.382     | 54       
115   | Path found| 10.309    | 75       | Path found| 6.048     | 75       
116   | Path found| 6.703     | 59       | Path found| 4.504     | 59       
117   | Path found| 4.210     | 50       | Path found| 3.084     | 50       
118   | Path found| 8.369     | 66       | Path found| 5.495     | 68       
119   | Path found| 12.251    | 82       | Path found| 7.301     | 82       
120   | Path found| 3.321     | 56       | Path found| 3.173     | 56       
121   | Path found| 8.919     | 69       | Path found| 6.850     | 69       
122   | Path found| 4.359     | 50       | Path found| 3.362     | 50       
123   | Path found| 3.920     | 54       | Path found| 3.710     | 56       
124   | Path found| 5.240     | 54       | Path found| 3.501     | 54       
125   | Path found| 11.163    | 79       | Path found| 7.219     | 81       
126   | Path found| 3.854     | 50       | Path found| 3.613     | 50       
127   | Path found| 7.312     | 63       | Path found| 4.763     | 63       
128   | Path found| 4.176     | 55       | Path found| 3.617     | 55       
129   | Path found| 3.979     | 50       | Path found| 3.507     | 52       
130   | No path   | 2.957     | 8        | No path   | 4.385     | 8        
131   | Path found| 4.474     | 53       | Path found| 3.208     | 53       
132   | Path found| 5.116     | 57       | Path found| 3.331     | 57       
133   | Path found| 5.158     | 53       | Path found| 5.498     | 53       
134   | Path found| 4.634     | 52       | Path found| 3.304     | 52       
135   | Path found| 8.642     | 69       | Path found| 5.477     | 69       
136   | Path found| 4.011     | 50       | Path found| 3.010     | 50       
137   | Path found| 5.128     | 61       | Path found| 4.275     | 61       
138   | Path found| 12.165    | 79       | Path found| 6.796     | 79       
139   | Path found| 6.591     | 60       | Path found| 4.716     | 60       
140   | Path found| 4.901     | 52       | Path found| 3.434     | 52       
141   | No path   | 7.878     | 61       | No path   | 7.532     | 61       
142   | Path found| 5.849     | 62       | Path found| 4.769     | 62       
143   | Path found| 8.120     | 68       | Path found| 5.715     | 68       
144   | No path   | 3.901     | 24       | No path   | 3.990     | 24       
145   | Path found| 4.924     | 53       | Path found| 3.978     | 53       
146   | Path found| 4.341     | 54       | Path found| 4.521     | 54       
147   | Path found| 4.346     | 51       | Path found| 3.414     | 51       
148   | Path found| 4.843     | 52       | Path found| 3.937     | 54       
149   | Path found| 7.832     | 66       | Path found| 4.685     | 66       
150   | Path found| 6.514     | 59       | Path found| 6.726     | 65       
151   | Path found| 8.651     | 71       | Path found| 7.706     | 71       
152   | Path found| 5.494     | 55       | Path found| 3.490     | 55       
153   | Path found| 6.653     | 64       | Path found| 5.252     | 66       
154   | Path found| 5.730     | 56       | Path found| 3.238     | 56       
155   | Path found| 9.125     | 70       | Path found| 5.555     | 70       
156   | Path found| 6.960     | 61       | Path found| 5.971     | 65       
157   | No path   | 2.907     | 10       | No path   | 3.852     | 10       
158   | Path found| 3.581     | 50       | Path found| 2.905     | 50       
159   | Path found| 14.644    | 82       | Path found| 7.380     | 82       
160   | Path found| 6.050     | 61       | Path found| 4.884     | 61       
161   | Path found| 4.663     | 54       | Path found| 3.881     | 54       
162   | Path found| 10.352    | 70       | Path found| 6.232     | 70       
163   | No path   | 3.692     | 15       | No path   | 3.884     | 15       
