Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
---------------------------------------------------------------------------------
1     | Path found| 1.038     | 80        | Path found| 8.554     | 80        
2     | Path found| 0.714     | 77        | Path found| 7.362     | 77        
3     | Path found| 0.371     | 70        | Path found| 5.427     | 70        
4     | Path found| 0.550     | 75        | Path found| 6.165     | 75        
5     | Path found| 0.705     | 70        | Path found| 3.114     | 70        
6     | Path found| 0.293     | 70        | Path found| 2.961     | 70        
7     | Path found| 0.330     | 74        | Path found| 3.212     | 74        
8     | Path found| 0.316     | 77        | Path found| 3.245     | 77        
9     | Path found| 0.474     | 71        | Path found| 2.927     | 71        
10    | Path found| 0.277     | 72        | Path found| 2.913     | 72        
11    | Path found| 0.182     | 70        | Path found| 2.859     | 70        
12    | Path found| 0.325     | 70        | Path found| 2.672     | 70        
13    | Path found| 0.320     | 75        | Path found| 2.916     | 75        
14    | Path found| 0.266     | 71        | Path found| 2.917     | 71        
15    | Path found| 0.321     | 74        | Path found| 3.251     | 74        
16    | Path found| 0.594     | 73        | Path found| 3.065     | 73        
17    | Path found| 0.522     | 74        | Path found| 2.932     | 74        
18    | Path found| 0.340     | 87        | Path found| 4.447     | 87        
19    | Path found| 0.305     | 74        | Path found| 3.272     | 74        
20    | Path found| 0.297     | 77        | Path found| 3.483     | 77        
21    | Path found| 0.769     | 73        | Path found| 3.152     | 73        
22    | Path found| 0.228     | 72        | Path found| 2.950     | 72        
23    | Path found| 0.429     | 73        | Path found| 2.816     | 73        
24    | Path found| 0.462     | 74        | Path found| 3.153     | 74        
25    | Path found| 0.661     | 71        | Path found| 2.782     | 71        
26    | Path found| 0.502     | 74        | Path found| 3.286     | 74        
27    | Path found| 0.301     | 76        | Path found| 3.295     | 76        
28    | Path found| 0.316     | 70        | Path found| 2.690     | 70        
29    | Path found| 0.255     | 70        | Path found| 2.924     | 70        
30    | Path found| 0.434     | 73        | Path found| 2.932     | 73        
31    | Path found| 0.746     | 74        | Path found| 3.261     | 74        
32    | Path found| 0.320     | 70        | Path found| 2.798     | 70        
33    | Path found| 0.454     | 79        | Path found| 3.547     | 79        
34    | Path found| 0.324     | 71        | Path found| 1.954     | 71        
35    | Path found| 0.463     | 72        | Path found| 2.933     | 72        
36    | Path found| 0.497     | 78        | Path found| 3.542     | 78        
37    | Path found| 0.310     | 70        | Path found| 2.770     | 70        
38    | Path found| 0.455     | 75        | Path found| 3.318     | 75        
39    | Path found| 0.298     | 77        | Path found| 3.470     | 77        
40    | Path found| 0.395     | 72        | Path found| 3.075     | 72        
41    | Path found| 0.267     | 72        | Path found| 2.956     | 72        
42    | Path found| 0.690     | 72        | Path found| 2.071     | 72        
43    | Path found| 0.481     | 83        | Path found| 3.891     | 83        
44    | Path found| 0.198     | 72        | Path found| 3.099     | 72        
45    | Path found| 0.282     | 70        | Path found| 2.790     | 70        
46    | Path found| 0.360     | 74        | Path found| 2.201     | 74        
47    | Path found| 0.270     | 73        | Path found| 3.113     | 73        
48    | Path found| 0.366     | 71        | Path found| 2.848     | 71        
49    | Path found| 0.509     | 78        | Path found| 3.558     | 78        
50    | Path found| 0.913     | 81        | Path found| 3.879     | 81        
51    | Path found| 0.553     | 74        | Path found| 3.114     | 74        
52    | Path found| 0.502     | 70        | Path found| 2.050     | 70        
53    | Path found| 0.672     | 71        | Path found| 2.978     | 71        
54    | Path found| 0.732     | 73        | Path found| 2.199     | 73        
55    | Path found| 0.631     | 75        | Path found| 3.255     | 75        
56    | Path found| 0.717     | 82        | Path found| 3.936     | 82        
57    | Path found| 0.568     | 71        | Path found| 2.982     | 71        
58    | Path found| 0.484     | 77        | Path found| 3.510     | 77        
59    | Path found| 0.299     | 76        | Path found| 3.298     | 76        
60    | Path found| 0.217     | 73        | Path found| 3.138     | 73        
61    | Path found| 0.553     | 75        | Path found| 3.337     | 75        
62    | Path found| 0.241     | 71        | Path found| 2.808     | 71        
63    | Path found| 0.798     | 74        | Path found| 2.998     | 74        
64    | Path found| 0.531     | 75        | Path found| 3.327     | 75        
65    | Path found| 0.275     | 71        | Path found| 2.874     | 71        
66    | Path found| 0.323     | 81        | Path found| 3.805     | 81        
67    | Path found| 0.377     | 75        | Path found| 3.322     | 75        
68    | Path found| 0.564     | 76        | Path found| 3.302     | 76        
69    | Path found| 0.586     | 78        | Path found| 3.503     | 78        
70    | Path found| 0.256     | 84        | Path found| 4.039     | 84        
71    | Path found| 0.643     | 70        | Path found| 2.717     | 70        
72    | Path found| 0.453     | 70        | Path found| 2.738     | 70        
73    | Path found| 0.292     | 77        | Path found| 3.515     | 77        
74    | Path found| 0.307     | 72        | Path found| 2.964     | 72        
75    | Path found| 0.715     | 73        | Path found| 2.184     | 73        
76    | Path found| 0.331     | 73        | Path found| 3.151     | 73        
77    | Path found| 0.295     | 70        | Path found| 3.022     | 70        
78    | Path found| 0.583     | 78        | Path found| 3.657     | 78        
79    | Path found| 0.769     | 77        | Path found| 3.186     | 77        
80    | Path found| 0.267     | 70        | Path found| 2.896     | 70        
81    | Path found| 0.431     | 74        | Path found| 3.188     | 74        
