Detected from header: steps=5000, objects_per_step=1
Test  | A*        | A* time   | A* steps | D* Lite   | D* time   | D* steps 
--------------------------------------------------------------------------------
1     | Path found| 2.128     | 71       | Path found| 1.136     | 71       
2     | Path found| 1.713     | 77       | Path found| 0.615     | 77       
3     | Path found| 1.129     | 76       | Path found| 0.582     | 76       
4     | Path found| 1.306     | 75       | Path found| 0.581     | 75       
5     | Path found| 1.252     | 74       | Path found| 0.540     | 74       
6     | Path found| 1.261     | 71       | Path found| 0.582     | 73       
7     | Path found| 0.995     | 70       | Path found| 0.521     | 70       
8     | Path found| 1.484     | 75       | Path found| 0.599     | 75       
9     | Path found| 1.479     | 76       | Path found| 0.622     | 76       
10    | Path found| 1.695     | 74       | Path found| 0.681     | 76       
11    | Path found| 1.164     | 70       | Path found| 0.493     | 70       
12    | Path found| 1.410     | 71       | Path found| 0.539     | 71       
13    | Path found| 1.538     | 76       | Path found| 0.652     | 76       
14    | Path found| 1.731     | 74       | Path found| 0.580     | 74       
15    | Path found| 1.575     | 71       | Path found| 0.505     | 71       
16    | Path found| 1.605     | 75       | Path found| 0.575     | 75       
17    | Path found| 1.105     | 72       | Path found| 0.515     | 72       
18    | Path found| 1.000     | 73       | Path found| 0.638     | 73       
19    | Path found| 1.447     | 79       | Path found| 0.640     | 79       
20    | Path found| 1.259     | 70       | Path found| 0.505     | 70       
21    | Path found| 1.863     | 82       | Path found| 0.700     | 82       
22    | Path found| 1.508     | 79       | Path found| 0.655     | 79       
23    | Path found| 1.596     | 77       | Path found| 0.624     | 77       
24    | Path found| 2.072     | 82       | Path found| 0.726     | 82       
25    | Path found| 0.958     | 70       | Path found| 0.506     | 70       
26    | Path found| 1.355     | 70       | Path found| 0.533     | 70       
27    | Path found| 1.200     | 72       | Path found| 0.536     | 72       
28    | Path found| 1.400     | 73       | Path found| 0.563     | 73       
29    | Path found| 1.513     | 74       | Path found| 0.595     | 74       
30    | Path found| 1.823     | 80       | Path found| 0.659     | 80       
31    | Path found| 0.886     | 71       | Path found| 0.517     | 71       
32    | Path found| 1.620     | 73       | Path found| 0.574     | 73       
33    | Path found| 1.511     | 74       | Path found| 0.602     | 74       
34    | Path found| 1.955     | 79       | Path found| 0.648     | 79       
35    | Path found| 1.426     | 76       | Path found| 0.579     | 76       
36    | Path found| 1.560     | 78       | Path found| 0.735     | 80       
