Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
---------------------------------------------------------------------------------
1     | Path found| 0.088     | 71        | Path found| 0.477     | 71        
2     | Path found| 0.087     | 77        | Path found| 0.531     | 77        
3     | Path found| 0.052     | 76        | Path found| 0.495     | 76        
4     | Path found| 0.077     | 73        | Path found| 0.438     | 73        
5     | Path found| 0.050     | 74        | Path found| 0.497     | 74        
6     | Path found| 0.062     | 71        | Path found| 0.460     | 71        
7     | Path found| 0.047     | 70        | Path found| 0.450     | 70        
8     | Path found| 0.046     | 75        | Path found| 0.492     | 75        
9     | Path found| 0.037     | 76        | Path found| 0.507     | 76        
10    | Path found| 0.039     | 74        | Path found| 0.506     | 74        
11    | Path found| 0.070     | 70        | Path found| 0.418     | 70        
12    | Path found| 0.093     | 71        | Path found| 0.454     | 71        
13    | Path found| 0.076     | 76        | Path found| 0.535     | 76        
14    | Path found| 0.110     | 74        | Path found| 0.476     | 74        
15    | Path found| 0.078     | 71        | Path found| 0.415     | 71        
16    | Path found| 0.071     | 75        | Path found| 0.812     | 75        
17    | Path found| 0.074     | 72        | Path found| 0.607     | 72        
18    | Path found| 0.078     | 71        | Path found| 0.438     | 71        
19    | Path found| 0.077     | 79        | Path found| 0.568     | 79        
20    | Path found| 0.054     | 70        | Path found| 0.430     | 70        
21    | Path found| 0.044     | 82        | Path found| 0.610     | 82        
22    | Path found| 0.073     | 79        | Path found| 0.594     | 79        
23    | Path found| 0.081     | 77        | Path found| 0.550     | 77        
24    | Path found| 0.101     | 82        | Path found| 0.629     | 82        
25    | Path found| 0.047     | 70        | Path found| 0.434     | 70        
26    | Path found| 0.052     | 70        | Path found| 0.443     | 70        
27    | Path found| 0.045     | 72        | Path found| 0.449     | 72        
28    | Path found| 0.046     | 73        | Path found| 0.478     | 73        
29    | Path found| 0.041     | 74        | Path found| 0.499     | 74        
30    | Path found| 0.040     | 80        | Path found| 0.563     | 80        
31    | Path found| 0.042     | 71        | Path found| 0.427     | 71        
32    | Path found| 0.088     | 73        | Path found| 0.538     | 73        
33    | Path found| 0.149     | 74        | Path found| 0.482     | 74        
34    | Path found| 0.078     | 79        | Path found| 0.567     | 79        
35    | Path found| 0.042     | 76        | Path found| 0.475     | 76        
36    | Path found| 0.047     | 78        | Path found| 0.505     | 78        
37    | Path found| 0.048     | 78        | Path found| 0.512     | 78        
38    | Path found| 0.040     | 74        | Path found| 0.458     | 74        
39    | Path found| 0.049     | 70        | Path found| 0.427     | 70        
40    | Path found| 0.050     | 77        | Path found| 0.612     | 77        
41    | Path found| 0.104     | 72        | Path found| 0.345     | 72        
42    | Path found| 0.044     | 74        | Path found| 0.474     | 74        
43    | Path found| 0.092     | 84        | Path found| 0.606     | 84        
44    | Path found| 0.092     | 72        | Path found| 0.461     | 72        
45    | Path found| 0.046     | 72        | Path found| 0.475     | 72        
46    | Path found| 0.121     | 78        | Path found| 0.525     | 78        
47    | Path found| 0.044     | 70        | Path found| 0.429     | 70        
48    | Path found| 0.076     | 70        | Path found| 0.419     | 70        
