Detected from header: steps=5000, objects_per_step=10
Test  | MPPI      | MPPI ms   | MPPI st   | MPPI tt   | MPPI tn   | MPPI nm   | RAMPPI    | RAMPPI ms | RAMPPI st | RAMPPI tt | RAMPPI tn | RAMPPI nm | MPPIp     | MPPIp ms  | MPPIp st  | MPPIp tt  | MPPIp tn  | MPPIp nm  | RAMPPIp   | RAMPPIp ms| RAMPPIp st| RAMPPIp tt| RAMPPIp tn| RAMPPIp nm| 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(Using first 100 test cases — sampling-based planners are slower per path)
1     | Path found| 1.828     | 111       | 2.209     | 69.545    | 0.099     | Path found| 48.111    | 91        | 1.811     | 59.000    | 0.033     | Path found| 3.433     | 111       | 2.209     | 69.545    | 0.099     | Path found| 62.172    | 91        | 1.811     | 61.000    | 0.121     | 
2     | Path found| 1.726     | 95        | 1.738     | 61.277    | 0.074     | Path found| 51.255    | 105       | 1.921     | 64.904    | 0.086     | Path found| 2.187     | 95        | 1.738     | 55.532    | 0.095     | Path found| 70.651    | 105       | 1.921     | 70.962    | 0.133     | 
3     | Path found| 1.605     | 94        | 1.720     | 55.161    | 0.181     | Path found| 84.537    | 166       | 3.038     | 70.364    | 0.090     | Path found| 2.502     | 106       | 1.940     | 54.857    | 0.113     | Path found| 64.823    | 96        | 1.757     | 65.368    | 0.146     | 
4     | Path found| 1.853     | 105       | 2.025     | 70.962    | 0.248     | Path found| 67.230    | 133       | 2.565     | 78.409    | 0.060     | Path found| 2.827     | 115       | 2.218     | 75.000    | 0.235     | Path found| 85.534    | 109       | 2.102     | 65.000    | 0.138     | 
5     | Path found| 2.925     | 112       | 2.121     | 75.405    | 0.188     | Path found| 62.301    | 110       | 2.083     | 64.404    | 0.055     | Path found| 3.829     | 122       | 2.311     | 68.430    | 0.262     | Path found| 74.098    | 96        | 1.818     | 60.632    | 0.094     | 
6     | Path found| 1.619     | 91        | 1.804     | 64.000    | 0.165     | Path found| 64.774    | 113       | 2.240     | 61.875    | 0.142     | Path found| 2.287     | 101       | 2.002     | 71.100    | 0.208     | Path found| 92.876    | 119       | 2.359     | 62.542    | 0.109     | 
7     | Path found| 1.420     | 82        | 1.615     | 50.000    | 0.220     | Path found| 53.689    | 94        | 1.851     | 63.871    | 0.011     | Path found| 2.209     | 94        | 1.851     | 67.742    | 0.191     | Path found| 73.947    | 94        | 1.851     | 58.065    | 0.032     | 
8     | Path found| 2.721     | 91        | 1.708     | 56.000    | 0.209     | Path found| 64.610    | 113       | 2.122     | 68.304    | 0.142     | Path found| 4.153     | 125       | 2.347     | 76.210    | 0.160     | Path found| 82.411    | 105       | 1.971     | 58.846    | 0.076     | 
