Test  | MPPI      | MPPI ms   | MPPI st   | MPPI tt   | MPPI tn   | MPPI nm   | RAMPPI    | RAMPPI ms | RAMPPI st | RAMPPI tt | RAMPPI tn | RAMPPI nm | MPPIp     | MPPIp ms  | MPPIp st  | MPPIp tt  | MPPIp tn  | MPPIp nm  | RAMPPIp   | RAMPPIp ms| RAMPPIp st| RAMPPIp tt| RAMPPIp tn| RAMPPIp nm| 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(Using first 100 test cases — sampling-based planners are slower per path)
1     | Path found| 2.367     | 79        | 1.572     | 43.846    | 0.013     | Path found| 41.216    | 85        | 1.692     | 54.643    | 0.035     | Path found| 1.305     | 79        | 1.572     | 43.846    | 0.013     | Path found| 38.683    | 85        | 1.692     | 54.643    | 0.035     | 
2     | Path found| 2.436     | 143       | 2.616     | 70.986    | 0.210     | Path found| 50.520    | 111       | 2.030     | 67.909    | 0.000     | Path found| 2.499     | 143       | 2.616     | 70.986    | 0.210     | Path found| 51.814    | 111       | 2.030     | 67.909    | 0.000     | 
3     | Path found| 1.698     | 100       | 1.830     | 54.545    | 0.150     | Path found| 44.831    | 94        | 1.720     | 57.097    | 0.064     | Path found| 1.818     | 100       | 1.830     | 54.545    | 0.150     | Path found| 45.778    | 94        | 1.720     | 57.097    | 0.064     | 
4     | Path found| 1.807     | 101       | 1.948     | 66.600    | 0.089     | Path found| 48.400    | 101       | 1.948     | 57.600    | 0.059     | Path found| 1.805     | 101       | 1.948     | 66.600    | 0.089     | Path found| 48.964    | 101       | 1.948     | 57.600    | 0.059     | 
5     | Path found| 1.346     | 80        | 1.515     | 35.316    | 0.037     | Path found| 46.811    | 100       | 1.894     | 59.091    | 0.040     | Path found| 1.376     | 80        | 1.515     | 35.316    | 0.037     | Path found| 47.790    | 100       | 1.894     | 59.091    | 0.040     | 
6     | Path found| 1.570     | 93        | 1.843     | 61.630    | 0.161     | Path found| 58.486    | 125       | 2.478     | 66.048    | 0.072     | Path found| 1.584     | 93        | 1.843     | 61.630    | 0.161     | Path found| 59.574    | 125       | 2.478     | 66.048    | 0.072     | 
7     | Path found| 1.355     | 82        | 1.615     | 45.556    | 0.134     | Path found| 43.159    | 90        | 1.773     | 61.685    | 0.067     | Path found| 1.380     | 82        | 1.615     | 45.556    | 0.134     | Path found| 43.691    | 90        | 1.773     | 61.685    | 0.067     | 
8     | Path found| 1.472     | 87        | 1.633     | 56.512    | 0.126     | Path found| 50.010    | 105       | 1.971     | 56.250    | 0.067     | Path found| 1.502     | 87        | 1.633     | 56.512    | 0.126     | Path found| 50.647    | 105       | 1.971     | 56.250    | 0.067     | 
